Date;Clicks;Impressions;CTR;Position
2024-04-11;446;13816;3,23%;7,67
2024-04-10;517;14482;3,57%;7,76
2024-04-09;441;14162;3,11%;7,73
2024-04-08;494;13644;3,62%;7,75
2024-04-07;247;8310;2,97%;8,57
2024-04-06;155;6279;2,47%;9,56
2024-04-05;390;10339;3,77%;8,18
2024-04-04;502;13735;3,65%;8,14
2024-04-03;523;13896;3,76%;7,90
2024-04-02;402;11458;3,51%;8,06
2024-04-01;153;4941;3,10%;9,71
2024-03-31;90;3428;2,63%;11,09
2024-03-30;99;3697;2,68%;11,03
2024-03-29;214;6513;3,29%;8,60
2024-03-28;356;8865;4,02%;8,38
2024-03-27;429;11261;3,81%;7,99
2024-03-26;491;13260;3,70%;7,93
2024-03-25;477;13746;3,47%;7,87
2024-03-24;280;8425;3,32%;8,43
2024-03-23;182;6320;2,88%;9,11
2024-03-22;407;10837;3,76%;8,18
2024-03-21;435;12259;3,55%;7,97
2024-03-20;509;13897;3,66%;7,74
2024-03-19;579;14834;3,90%;7,66
2024-03-18;565;14439;3,91%;7,73
2024-03-17;311;9294;3,35%;8,39
2024-03-16;194;6688;2,90%;9,08
2024-03-15;420;10708;3,92%;8,37
2024-03-14;513;14076;3,64%;7,61
2024-03-13;566;14132;4,01%;7,70
2024-03-12;551;14152;3,89%;7,63
2024-03-11;557;13955;3,99%;7,10
2024-03-10;274;7719;3,55%;7,66
2024-03-09;191;5706;3,35%;8,37
2024-03-08;405;9469;4,28%;7,98
2024-03-07;563;13286;4,24%;7,95
2024-03-06;579;14362;4,03%;7,71
2024-03-05;558;14679;3,80%;7,75
2024-03-04;495;14082;3,52%;8,26
2024-03-03;297;8691;3,42%;8,74
2024-03-02;186;5917;3,14%;9,79
2024-03-01;401;10185;3,94%;8,60
2024-02-29;534;13122;4,07%;8,19
2024-02-28;519;13905;3,73%;8,07
2024-02-27;574;13937;4,12%;7,82
2024-02-26;562;13638;4,12%;7,83
2024-02-25;263;8144;3,23%;8,57
2024-02-24;182;5871;3,10%;9,37
2024-02-23;420;10312;4,07%;8,00
2024-02-22;538;12714;4,23%;7,80
2024-02-21;518;13316;3,89%;7,92
2024-02-20;533;13472;3,96%;7,77
2024-02-19;534;13167;4,06%;8,07
2024-02-18;274;7957;3,44%;8,69
2024-02-17;234;6435;3,64%;8,91
2024-02-16;408;9850;4,14%;8,08
2024-02-15;585;13248;4,42%;7,47
2024-02-14;470;12133;3,87%;7,22
2024-02-13;534;12975;4,12%;7,29
2024-02-12;600;13501;4,44%;7,37
2024-02-11;288;9261;3,11%;8,62
2024-02-10;197;6785;2,90%;9,32
2024-02-09;422;11309;3,73%;8,05
2024-02-08;485;13542;3,58%;7,99
2024-02-07;547;14572;3,75%;7,94
2024-02-06;593;15281;3,88%;7,82
2024-02-05;560;15371;3,64%;8,00
2024-02-04;342;10719;3,19%;8,50
2024-02-03;254;8617;2,95%;8,85
2024-02-02;451;12506;3,61%;8,29
2024-02-01;625;15656;3,99%;7,81
2024-01-31;612;16594;3,69%;7,79
2024-01-30;638;16733;3,81%;7,84
2024-01-29;613;15760;3,89%;7,89
2024-01-28;347;11058;3,14%;8,31
2024-01-27;259;9064;2,86%;8,43
2024-01-26;490;13080;3,75%;7,92
2024-01-25;612;16512;3,71%;7,61
2024-01-24;698;17731;3,94%;8,13
2024-01-23;621;17430;3,56%;7,82
2024-01-22;713;16674;4,28%;7,75
2024-01-21;338;10251;3,30%;8,02
2024-01-20;281;8661;3,24%;8,61
2024-01-19;483;12889;3,75%;8,44
2024-01-18;590;15843;3,72%;8,03
2024-01-17;613;16337;3,75%;7,93
2024-01-16;635;16842;3,77%;7,78
2024-01-15;648;17357;3,73%;7,91
2024-01-14;422;12716;3,32%;7,92
2024-01-13;319;9665;3,30%;8,61
2024-01-12;467;13724;3,40%;8,34
2024-01-11;609;17196;3,54%;7,89
2024-01-10;661;18117;3,65%;7,69
2024-01-09;646;18181;3,55%;7,82
2024-01-08;683;18319;3,73%;8,00
2024-01-07;395;11925;3,31%;8,75
2024-01-06;272;8546;3,18%;8,99
2024-01-05;464;12320;3,77%;8,32
2024-01-04;584;16746;3,49%;8,11
2024-01-03;617;16835;3,66%;8,05
2024-01-02;524;14104;3,72%;8,21
2024-01-01;196;6354;3,08%;10,24
